# bench_decision_layer, open_spiel 2.0.2, python 3.13.15, betting=fullgame, odds-sims=200
# Measured with the blinds posted in reverse seat order (the big blind on engine
# seat 0) and the heads-up acting order reversed, so these runs were not the bot's
# exact table; that changes nothing about the timing and memory figures below, but
# they were not taken on the table `pokerbot/table.py` deals.
# started 2026-09-16T22:47:17-0400, load1 at start 5.58

option | seats | budget_s | rep | load1 | latency_s min/med/max | playouts/decision min/med/max | worlds/decision med | dec/s | peak_rss_MiB
dls | 3 | 0.25 | 0 | 5.58 | 0.250/0.252/0.252 | 170/196/251 | 196 | 3.98 | 33
dls | 3 | 0.25 | 1 | 5.58 | 0.251/0.251/0.253 | 170/189/268 | 189 | 3.98 | 37
dls | 3 | 2.0 | 0 | 5.38 | 2.000/2.001/2.001 | 977/1159/1764 | 1159 | 0.50 | 41
dls | 3 | 2.0 | 1 | 5.43 | 2.001/2.001/2.002 | 1557/2036/2122 | 2036 | 0.50 | 41
dls | 6 | 0.25 | 0 | 5.31 | 0.250/0.251/0.255 | 76/114/386 | 114 | 3.97 | 41
dls | 6 | 0.25 | 1 | 5.31 | 0.251/0.252/0.254 | 85/98/177 | 98 | 3.96 | 41
dls | 6 | 2.0 | 0 | 5.29 | 2.000/2.003/2.004 | 867/1074/3154 | 1074 | 0.50 | 41
dls | 6 | 2.0 | 1 | 5.18 | 2.000/2.001/2.001 | 781/875/1395 | 875 | 0.50 | 41

# finished 2026-09-16T22:47:44-0400, load1 at end 5.18
